INSEE,POSTAL,CITY,PRICE,TFB,,
77067,77240,CESSON,19.3,57,,
91174,91100,CORBEIL ESSONNES,19.3,43.75,,
91471,91400,ORSAY,19.3,44.4,,
78498,78300,POISSY,20.47,29.33,,
94047,94520,MANDRES LES ROSES,14.73,37.38,,
95450,95000,Neuville-sur-Oise,19.3,34.58,,
95563,95320,ST LEU LA FORET,19.3,37.01,,
91115,91680,Bruyères-le-Châtel,14.73,31.24,,
93057,93320,PAVILLONS SOUS BOIS,19.3,38.36,,
78133,78240,Chambourcy,20.47,26.17,,
95572,95310,ST OUEN L AUMONE,20.47,40.98,,
78623,78490,TREMBLAY SUR MAULDRE,14.73,30.88,,
91286,91350,GRIGNY,19.3,42.4,,
77215,77220,GRETZ ARMAINVILLIERS,19.3,36.63,,
77249,77150,Lésigny,19.3,43.95,,
95203,95600,EAUBONNE,19.3,38.71,,
93053,93130,NOISY LE SEC,20.47,47.93,,
78140,78130,Chapet,19.3,30.64,,
91538,91190,Saint-Aubin,14.73,24.64,,
78686,78220,VIROFLAY,24.1,33.65,,
95369,95580,MARGENCY,19.3,31.58,,
91659,91100,VILLABE,19.3,37.5,,
94055,94490,ORMESSON SUR MARNE,14.73,40.59,,
75110,75010,PARIS 10eme,28.33,20.5,,
75116,75016,PARIS 16eme,30.3,20.5,,
91182,91080,COURCOURONNES,19.3,44.58258,,
75109,75009,PARIS 9eme,28.33,20.5,,
75115,75015,PARIS 15eme,28.33,20.5,,
75118,75018,PARIS 18eme,28.33,20.5,,
75102,75002,PARIS 2eme,28.33,20.5,,
75111,75011,PARIS 11eme,28.33,20.5,,
78524,78150,Rocquencourt,20.47,25.69349,,
75105,75005,PARIS 5eme,28.33,20.5,,
75108,75008,PARIS 8eme,30.3,20.5,,
75113,75013,PARIS 13eme,25.85,20.5,,
75112,75012,PARIS 12eme,28.33,20.5,,
75119,75019,PARIS 19eme,25.85,20.5,,
75120,75020,PARIS 20eme,25.85,20.5,,
75117,75017,PARIS 17eme,28.33,20.5,,
75101,75001,PARIS 1er,28.33,20.5,,
75104,75004,PARIS 4eme,28.33,20.5,,
75107,75007,PARIS 7eme,30.3,20.5,,
75103,75003,PARIS 3eme,28.33,20.5,,
75106,75006,PARIS 6eme,30.3,20.5,,
75114,75014,PARIS 14eme,28.33,20.5,,
